Akha,,,,,,,,,,
Sr No.,Song_Name,Album_Name,Audio_File,Cover_File,Singer,Lyrics,Music_Director,Composer,Record_Label/Company,Langauage
,Tu Aage Aage Chalelu Dil Pichhe Pichhe (From Naache Dulha Gali Gali),Naache Dulha Gali Gali,Audio71.wav,Cover17.jpg,Rani Chatterji,Santosh Utpati,Arya Sharma,,STAGE,Bhojpuri
,Ab ta Nindiyo na Aawta raat me (From Naache Dulha Gali Gali),Naache Dulha Gali Gali,Audio72.wav,Cover17.jpg,Rani Chatterji,Santosh Utpati,Arya Sharma,,STAGE,Bhojpuri
,Jahan Dekhi Tahan Tuhi Aawelu Nazar (From Naache Dulha Gali Gali),Naache Dulha Gali Gali,Audio73.wav,Cover17.jpg,Rani Chatterji,Santosh Utpati,Arya Sharma,,STAGE,Bhojpuri
,Jee Na Paayib Tohra Bin (From Naache Dulha Gali Gali),Naache Dulha Gali Gali,Audio74.wav,Cover17.jpg,Rani Chatterji,Rakesh Singh ,Arya Sharma,,STAGE,Bhojpuri
,Akhiya Mei Basal (From Naache Dulha Gali Gali),Naache Dulha Gali Gali,Audio75.wav,Cover17.jpg,Rani Chatterji,Saroj ,Arya Sharma,,STAGE,Bhojpuri
,Garmi Utar Deb (From Saas Gaari Deve),Saas Gaari Deve,Audio76.wav,Cover22.jpg,Indu Sonali ,Munna Dubey,Munna Dubey,,STAGE,Bhojpuri
,Looking Wow (From Saas Gaari Deve),Saas Gaari Deve,Audio77.wav,Cover22.jpg,Priyanka Singh,Munna Dubey,Munna Dubey,,STAGE,Bhojpuri
,Gauna Re (From Saas Gaari Deve),Saas Gaari Deve,Audio78.wav,Cover22.jpg,Anjali Yadav,Munna Dubey,Munna Dubey,,STAGE,Bhojpuri
,Saas Gaari Deve (From Saas Gaari Deve),Saas Gaari Deve,Audio79.wav,Cover22.jpg,Alka Jha,Munna Dubey,Munna Dubey,,STAGE,Bhojpuri
,Ankhiya Se,Saas Gaari Deve,Audio80.wav,Cover22.jpg,,Munna Dubey,Munna Dubey,,STAGE,Bhojpuri
,Balamua Chunale Bani ( From Jholachhap Dr),Jholachhap,Audio81.wav,Cover18.jpg,Priyanka Singh,Azad Singh,Azad SIngh & Vishal Singh,,STAGE,Bhojpuri
,Baji Marela (From Jholachhap Dr),Jholachhap,Audio82.wav,Cover18.jpg,Vishal SIngh,Azad Singh,Azad SIngh & Vishal Singh,,STAGE,Bhojpuri
,Nwa Nwa Pyaar (Jholachhap Dr),Jholachhap,Audio83.wav,Cover18.jpg,Sugam Singh & Aavya Dubey,Azad Singh,Azad SIngh & Vishal Singh,,STAGE,Bhojpuri
,Sagaro Mati Ho Gail (Jholachhap Dr),Jholachhap,Audio84.wav,Cover18.jpg,Alok Kumar,Azad Singh,Azad SIngh & Vishal Singh,,STAGE,Bhojpuri
,Mai Se Mila Da Hey Chhathi Mai (Laadli Chhathi Mai Ke),,Audio85.wav,Cover19.jpg,jyoti sharma,Pyare lal yadav ji,sajan mishra,,STAGE,Bhojpuri
,Mere Bholenaath,,Audio86.mp3,Cover16.jpg,Keka Ghosal ,Shakeel Azmi / Rajugopal Podala,Sumanto Bhattacharya,,STAGE,Bhojpuri
,Sun la Arajiya Hamar Chhathi Maiya (Punarjanm - Janm ke Phera),Punarjanm - Janm ke Phera,Audio87.wav,Cover20.jpg,"SUJEET GAUTAM,SANDHYA SARGAM",KUMAR SONA,AMAN SHLOK,,STAGE,Bhojpuri
,Namah Shivay (From Punarjanam) ,Punarjanm - Janm ke Phera,Audio88.wav,Cover20.jpg,Pallav singh ,Naushad Sadar Khan,DJ Bharali ,,STAGE,Bhojpuri
